ATTO PRIMO,ACT ONE
SUSANNA:                           S,USANNA:
Non vi celate.                     O,"h, don’t!"
,
IL CONTE:                          C,OUNT:
"Taci, e cerca ch'ei parta.         H","ush, and make sure he leaves."
,
SUSANNA:                           S,USANNA:
Oimè! Che fate?                    O,"h, god!  Whatever next?"
,
[Il Conte vuol nascondersi dietro il, sedile: Susanna si frappone tra il paggio e
lui: il Conte la spinge dolcemente.,"Ella rincula, intanto il paggio passa al"
"davanti del sedile, si mette dentro","in piedi, Susanna il ricopre colla"
vestaglia.],
,
[The Count goes to hide behind the s,ofa: Susanna stands between him and
Cherubino: the Count gently moves he,r out of the way.  Cherubino comes around to
the front and curls up on the sofa -, she covers him with the dress.]
,
,
,
,
,
,
SCENA VII                          S,CENE VII
I suddetti e Basilio               T,he above and Basilio
,
BASILIO:                           B,ASILIO:
"Susanna, il ciel vi salvi.         S","usanna, the heavens bless you."
Avreste a caso veduto il Conte?    H,ave you by chance seen the Count?
,
SUSANNA:                           S,USANNA:
E cosa                             A,nd what
deve far meco il Conte? -          w,ould the Count be doing with me?
"Animo, uscite.                     -"," I'm busy, go away."
,
BASILIO:                           B,ASILIO:
"Aspettate, sentite,                W","ait - listen,"
Figaro di lui cerca.               F,igaro's looking for him.
,
SUSANNA:                           S,USANNA:
(Oh cielo!) Ei cerca               (,Oh heavens!)  Looking for the very man
chi dopo voi più l'odia.           w,"ho, after you, hates him the most?"
,
IL CONTE:                          C,OUNT:
(Veggiam come mi serve.)          (L,et's see how he serves me.)
,
BASILIO:                           B,ASILIO:
Io non ho mai nella moral sentito  I,'ve never heard it said
ch'uno ch'ami la moglie            t,hat he who loves the wife
odi il marito.                     m,ust hate the husband.
Per dir che il Conte v'ama ...     T,"hat is to say, the Count loves you ..."
,
SUSANNA:                           S,USANNA:
"Sortite, vil ministro              G","et out, you vile pander"
dell'altrui sfrenatezza:           o,f others' messages:
Io non ho d'uopo                   I, don't want to hear
"della vostra morale,               a","bout your morals,"
"del Conte, del suo amor ...        a","bout the Count, about his love -"
,
BASILIO:                           B,ASILIO:
Non c'è alcun male.                O,"h, there's nothing wrong with that!"
Ha ciascun i suoi gusti:           E,veryone has their tastes:
io mi credea                       b,ut I'd have thought
"che preferir dovreste per amante,  y","ou'd prefer for a lover,"
"come fan tutte quante,             l","ike all other women,"
"un signor liberal,                 a"," lord who's generous,"
"prudente, e saggio,                d","iscreet, and wise,"
"a un giovinastro, a un paggio ...  t","o a young upstart, to a pageboy ..."
,
SUSANNA:                           S,USANNA:
A Cherubino!                       T,o Cherubino?
,
BASILIO:                           B,ASILIO:
A Cherubino! A Cherubin d'amore    T,o Cherubino!  That cherubim of love
ch'oggi sul far del giorno         W,ho today was hanging around
"passeggiava qui d'intorno,         t",hese rooms
per entrar ...                     l,ooking for a way in ...
,
SUSANNA:                           S,USANNA:
"Uom maligno,                       P","ernicious man,"
un impostura è questa.             T,his is slander!
,
BASILIO:                           B,ASILIO:
È un maligno con voi               I,t's a slander in your book
chi ha gli occhi in testa.         t,o have eyes in one's head.
E quella canzonetta?               A,nd that little song?
"Ditemi in confidenza; io sono amico,"," tell me in secret; I'm a friend,"
ed altrui nulla dico;              a,nd I won't tell anyone;
"è per voi, per madama ...          i","s it for you, or for her Ladyship?"
,
,
SUSANNA:                           S,USANNA:
Scellerato!                        S,coundrel!
E perché andate voi                A,nd why do you go around
tai menzogne spargendo?            s,preading such vicious rumours?
,
BASILIO:                           B,ASILIO:
Io! Che ingiustizia!               M,e!  How unjust!
Quel che compro io vendo.          I, only sell what I buy.
A quel che tutti dicono            I, don't add a thing
io non aggiungo un pelo.           t,o what everyone else is saying.
,
IL CONTE:                          C,OUNT:
[sortendo]                         [,emerging]
"Come, che dicon tutti!             W",hat!  Everyone's saying what?
,
BASILIO:                           B,ASILIO:
Oh bella!                          O,"h, wonderful!"
,
SUSANNA:                           S,USANNA:
Oh cielo!                          O,"h, heavens!"
,
N. 7 Terzetto                      N,o. 7 Trio
,
IL CONTE:                          C,OUNT:
[a Basilio]                        [,to Basilio]
"Cosa sento! Tosto andate,          W","hat’s this!  Go, find the rascal,"
e scacciate il seduttor.           A,nd throw him out!
,
BASILIO:                           B,ASILIO:
"In mal punto son qui giunto,       I"," came here at a bad time,"
"perdonate, oh mio signor.          I"," do apologise, my lord."
,
SUSANNA:                           S,USANNA:
"Che ruina, me meschina,            W","hat havoc!  I'm ruined,"
"[quasi svenuta,                    [","half fainting,"
li tentando a distrarre]           t,rying to distract them]
son oppressa dal dolor.            E,verything conspires against me.
,
BASILIO & IL CONTE:                B,ASILIO & COUNT:
[sostenendola]                     [,holding her up]
Ah già svien la poverina!          A,"h, the poor girl's almost fainting!"
"Come, oh Dio, le batte il cor!     O","h god, how her heart beats!"
,
BASILIO:                           B,ASILIO:
[approssimandosi al sedile         [,approaching the chair to
in atto di farla sedere]           m,ake her sit down]
Pian pianin su questo seggio.      C,"arefully, on this sofa -"
,
SUSANNA:                           S,USANNA:
Dove sono!                         W,here am I?
[rinviene]                         [,recovers]
Cosa veggio!                       W,hat's this!
[staccandosi da tutti due]         [,repelling them]
"Che insolenza, andate fuor.        W",hat presumption!  Get out of here!
,
BASILIO:                           B,ASILIO:
"Siamo qui per aiutarvi,            W","e're here to help you,"
è sicuro il vostro onor.           Y,our honour's quite safe.
,
IL CONTE:                          C,OUNT:
"Siamo qui per aiutarti,            W","e're here to help you, dear,"
"non turbarti, oh mio tesor.        D","on't worry, my treasure."
,
BASILIO:                           B,ASILIO:
[al Conte]                         [,to the Count]
"Ah, del paggio quel che ho detto   A","h, what I said of the page"
era solo un mio sospetto.          W,as only a suspicion of mine.
,
SUSANNA:                           S,USANNA:
"È un'insidia, una perfidia,        H","e's a rascal, a scoundrel,"
non credete all'impostor.          D,on't believe the impostor.
,
IL CONTE:                          C,OUNT:
"Parta, parta il damerino!          T",he little rascal leaves!
,
SUSANNA & BASILIO:                 S,USANNA & BASILIO:
Poverino!                          T,he poor thing!
,
IL CONTE:                          C,OUNT: [sarcastically]
Poverino!                          T,he poor thing!
Ma da me sorpreso ancor.           B,ut I've caught him at this before.
,
,
SUSANNA & BASILIO:                 S,USANNA & BASILIO:
Come! Che!                         W,hat! How?
,
IL CONTE:                          C,OUNT:
Da tua cugina                      A,t your cousin's house
l'uscio ier trovai rinchiuso;      y,esterday I found the door locked;
"picchio, m'apre Barbarina          I"," knock, and Barbarina opens it,"
paurosa fuor dell'uso.             l,ooking more nervous than usual.
"Io dal muso insospettito,          I",", immediately suspicious,"
"guardo, cerco in ogni sito,        l","ook, search everywhere,"
ed alzando pian pianino            a,"nd lifting, softly, very softly,"
il tappetto al tavolino            t,he cover from the table
vedo il paggio ...                 I, see the page ...
[imita il gesto colla vestaglia    [,demonstrates with the dress
e scopre il paggio]                a,nd discovers Cherubino]
Ah! cosa veggio!                   A,h!  What's this I see!
,
SUSANNA:                           S,USANNA:
Ah! crude stelle!                  A,h!  Cruel fates!
,
BASILIO:                           B,ASILIO:
Ah! meglio ancora!                 A,h!  Still better!
,
IL CONTE:                          C,OUNT:
Onestissima signora!               S,uch a virtuous lady!
Or capisco come va!                N,ow I understand!
,
SUSANNA:                           S,USANNA:
"Accader non può di peggio,         N","othing worse could happen,"
giusti Dei! Che mai sarà!          o,h God!  Whatever next!
,
BASILIO: [ridendo]                 B,ASILIO: [laughing]
Così fan tutte le belle;           A,ll pretty women are like that;
